t,v
4.95e-05,-0.367122
4.96e-05,-0.36837
4.97e-05,-0.369619
4.98e-05,-0.370869
4.99e-05,-0.37212
5e-05,-0.373372
5.01e-05,-0.374625
5.02e-05,-0.375878
5.03e-05,-0.377133
5.04e-05,-0.378388
5.05e-05,-0.379645
5.06e-05,-0.380902
5.07e-05,-0.38216
5.08e-05,-0.383419
5.09e-05,-0.384679
5.1e-05,-0.38594
5.11e-05,-0.387202
5.12e-05,-0.388465
5.13e-05,-0.389728
5.14e-05,-0.390992
5.15e-05,-0.392258
5.16e-05,-0.393524
5.17e-05,-0.39479
5.18e-05,-0.396058
5.19e-05,-0.397326
5.2e-05,-0.398596
5.21e-05,-0.399866
5.22e-05,-0.401137
5.23e-05,-0.402408
5.24e-05,-0.403681
5.25e-05,-0.404954
5.26e-05,-0.406228
5.27e-05,-0.407503
5.28e-05,-0.408779
5.29e-05,-0.410055
5.3e-05,-0.411332
5.31e-05,-0.41261
5.32e-05,-0.413888
5.33e-05,-0.415168
5.34e-05,-0.416448
5.35e-05,-0.417729
5.36e-05,-0.41901
5.37e-05,-0.420292
5.38e-05,-0.421575
5.39e-05,-0.422859
5.4e-05,-0.424143
5.41e-05,-0.425428
5.42e-05,-0.426713
5.43e-05,-0.428
5.44e-05,-0.429287
5.45e-05,-0.430574
5.46e-05,-0.431863
5.47e-05,-0.433151
5.48e-05,-0.434441
5.49e-05,-0.435731
5.5e-05,-0.437022
5.51e-05,-0.438313
5.52e-05,-0.439605
5.53e-05,-0.440898
5.54e-05,-0.442191
5.55e-05,-0.443485
5.56e-05,-0.44478
5.57e-05,-0.446075
5.58e-05,-0.44737
5.59e-05,-0.448666
5.6e-05,-0.449963
5.61e-05,-0.451261
5.62e-05,-0.452558
5.63e-05,-0.453857
5.64e-05,-0.455156
5.65e-05,-0.456455
5.66e-05,-0.457755
5.67e-05,-0.459056
5.68e-05,-0.460357
5.69e-05,-0.461658
5.7e-05,-0.46296
5.71e-05,-0.464263
5.72e-05,-0.465566
5.73e-05,-0.46687
5.74e-05,-0.468174
5.75e-05,-0.469478
5.76e-05,-0.470783
5.77e-05,-0.472088
5.78e-05,-0.473394
5.79e-05,-0.474701
5.8e-05,-0.476007
5.81e-05,-0.477315
5.82e-05,-0.478622
5.83e-05,-0.47993
5.84e-05,-0.481239
5.85e-05,-0.482548
5.86e-05,-0.483857
5.87e-05,-0.485167
5.88e-05,-0.486477
5.89e-05,-0.487787
5.9e-05,-0.489098
5.91e-05,-0.49041
5.92e-05,-0.491721
5.93e-05,-0.493033
5.94e-05,-0.494346
5.95e-05,-0.495658
5.96e-05,-0.496971
5.97e-05,-0.498285
5.98e-05,-0.499598
5.99e-05,-0.500913
6e-05,-0.502227
6.01e-05,-0.503542
6.02e-05,-0.504857
6.03e-05,-0.506172
6.04e-05,-0.507488
6.05e-05,-0.508804
6.06e-05,-0.51012
6.07e-05,-0.511436
6.08e-05,-0.512753
6.09e-05,-0.51407
6.1e-05,-0.515387
6.11e-05,-0.516705
6.12e-05,-0.518023
6.13e-05,-0.519341
6.14e-05,-0.520659
6.15e-05,-0.521978
6.16e-05,-0.523297
6.17e-05,-0.524616
6.18e-05,-0.525935
6.19e-05,-0.527254
6.2e-05,-0.528574
6.21e-05,-0.529894
6.22e-05,-0.531214
6.23e-05,-0.532534
