t,i
7.73e-05,-0.716255
7.74e-05,-0.716079
7.75e-05,-0.715901
7.76e-05,-0.715721
7.77e-05,-0.715539
7.78e-05,-0.715354
7.79e-05,-0.715166
7.8e-05,-0.714977
7.81e-05,-0.714785
7.82e-05,-0.71459
7.83e-05,-0.714393
7.84e-05,-0.714194
7.85e-05,-0.713993
7.86e-05,-0.713789
7.87e-05,-0.713583
7.88e-05,-0.713374
7.89e-05,-0.713163
7.9e-05,-0.71295
7.91e-05,-0.712734
7.92e-05,-0.712516
7.93e-05,-0.712296
7.94e-05,-0.712073
7.95e-05,-0.711848
7.96e-05,-0.711621
7.97e-05,-0.711391
7.98e-05,-0.711159
7.99e-05,-0.710925
8e-05,-0.710689
8.01e-05,-0.71045
8.02e-05,-0.710209
8.03e-05,-0.709965
8.04e-05,-0.70972
8.05e-05,-0.709472
8.06e-05,-0.709221
8.07e-05,-0.708969
8.08e-05,-0.708714
8.09e-05,-0.708457
8.1e-05,-0.708197
8.11e-05,-0.707936
8.12e-05,-0.707672
8.13e-05,-0.707406
8.14e-05,-0.707137
8.15e-05,-0.706867
8.16e-05,-0.706594
8.17e-05,-0.706319
8.18e-05,-0.706041
8.19e-05,-0.705762
8.2e-05,-0.70548
8.21e-05,-0.705196
8.22e-05,-0.704909
8.23e-05,-0.704621
8.24e-05,-0.70433
8.25e-05,-0.704037
8.26e-05,-0.703742
8.27e-05,-0.703445
8.28e-05,-0.703145
8.29e-05,-0.702844
8.3e-05,-0.70254
8.31e-05,-0.702233
8.32e-05,-0.701925
8.33e-05,-0.701615
8.34e-05,-0.701302
8.35e-05,-0.700987
8.36e-05,-0.70067
8.37e-05,-0.700351
8.38e-05,-0.70003
8.39e-05,-0.699706
8.4e-05,-0.699381
8.41e-05,-0.699053
8.42e-05,-0.698723
8.43e-05,-0.698391
8.44e-05,-0.698057
8.45e-05,-0.69772
8.46e-05,-0.697382
8.47e-05,-0.697041
8.48e-05,-0.696699
8.49e-05,-0.696354
8.5e-05,-0.696007
8.51e-05,-0.695658
8.52e-05,-0.695307
8.53e-05,-0.694953
8.54e-05,-0.694598
8.55e-05,-0.694241
8.56e-05,-0.693881
8.57e-05,-0.69352
8.58e-05,-0.693156
8.59e-05,-0.69279
8.6e-05,-0.692422
8.61e-05,-0.692052
8.62e-05,-0.69168
8.63e-05,-0.691306
8.64e-05,-0.69093
8.65e-05,-0.690552
8.66e-05,-0.690172
8.67e-05,-0.68979
8.68e-05,-0.689406
8.69e-05,-0.689019
8.7e-05,-0.688631
8.71e-05,-0.688241
8.72e-05,-0.687848
8.73e-05,-0.687454
8.74e-05,-0.687057
8.75e-05,-0.686659
8.76e-05,-0.686258
8.77e-05,-0.685856
8.78e-05,-0.685452
8.79e-05,-0.685045
8.8e-05,-0.684637
8.81e-05,-0.684226
8.82e-05,-0.683814
8.83e-05,-0.6834
8.84e-05,-0.682983
8.85e-05,-0.682565
8.86e-05,-0.682145
8.87e-05,-0.681722
8.88e-05,-0.681298
8.89e-05,-0.680872
8.9e-05,-0.680444
8.91e-05,-0.680014
8.92e-05,-0.679582
8.93e-05,-0.679148
8.94e-05,-0.678712
8.95e-05,-0.678274
8.96e-05,-0.677834
8.97e-05,-0.677393
8.98e-05,-0.676949
8.99e-05,-0.676504
9e-05,-0.676056
9.01e-05,-0.675607
9.02e-05,-0.675156
9.03e-05,-0.674703
9.04e-05,-0.674248
9.05e-05,-0.673791
9.06e-05,-0.673332
9.07e-05,-0.672872
9.08e-05,-0.672409
9.09e-05,-0.671945
9.1e-05,-0.671478
9.11e-05,-0.67101
9.12e-05,-0.67054
9.13e-05,-0.670069
9.14e-05,-0.669595
9.15e-05,-0.669119
9.16e-05,-0.668642
9.17e-05,-0.668163
9.18e-05,-0.667682
9.19e-05,-0.667199
9.2e-05,-0.666714
9.21e-05,-0.666228
9.22e-05,-0.665739
9.23e-05,-0.665249
9.24e-05,-0.664757
9.25e-05,-0.664264
9.26e-05,-0.663768
9.27e-05,-0.663271
9.28e-05,-0.662772
9.29e-05,-0.662271
9.3e-05,-0.661768
9.31e-05,-0.661263
9.32e-05,-0.660757
9.33e-05,-0.660249
9.34e-05,-0.659739
9.35e-05,-0.659228
9.36e-05,-0.658715
9.37e-05,-0.6582
9.38e-05,-0.657683
9.39e-05,-0.657164
9.4e-05,-0.656644
9.41e-05,-0.656122
9.42e-05,-0.655598
9.43e-05,-0.655073
9.44e-05,-0.654545
9.45e-05,-0.654016
9.46e-05,-0.653486
9.47e-05,-0.652953
9.48e-05,-0.652419
9.49e-05,-0.651884
9.5e-05,-0.651346
9.51e-05,-0.650807
9.52e-05,-0.650266
9.53e-05,-0.649724
